customer_id,first_name,last_name,phone,email,street,city,state,zip_code
259,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,"9680 E. Somerset Street ",Pleasanton,CA,94566
1212,Jaqueline,Cummings,NULL,jaqueline.cummings@hotmail.com,"478 Wrangler St. ","Huntington Station",NY,11746
523,Joshua,Robertson,NULL,joshua.robertson@gmail.com,"81 Campfire Court ",Patchogue,NY,11772
175,Nova,Hess,NULL,nova.hess@msn.com,"773 South Lafayette St. ",Duarte,CA,91010
1324,Arla,Ellis,NULL,arla.ellis@yahoo.com,"127 Crescent Ave. ",Utica,NY,13501
94,Sharyn,Hopkins,NULL,sharyn.hopkins@hotmail.com,"4 South Temple Ave. ",Baldwinsville,NY,13027
324,Laureen,Paul,NULL,laureen.paul@yahoo.com,"617 Squaw Creek Rd. ",Bellmore,NY,11710
1204,Leslie,Higgins,NULL,leslie.higgins@hotmail.com,"805 Logan Ave. ","Saratoga Springs",NY,12866
60,Neil,Mccall,NULL,neil.mccall@gmail.com,"7476 Oakland Dr. ","San Carlos",CA,94070
442,Alane,Munoz,"(914) 706-7576",alane.munoz@gmail.com,"8 Strawberry Dr. ",Yonkers,NY,10701
1326,Tarra,Guerrero,NULL,tarra.guerrero@aol.com,"10 Baker St. ",Auburn,NY,13021
91,Marvin,Mullins,"(619) 635-2027",marvin.mullins@aol.com,"7489 Redwood Drive ","San Diego",CA,92111
873,Patience,Clayton,NULL,patience.clayton@hotmail.com,"68 Chestnut Dr. ","Niagara Falls",NY,14304
258,Maribel,William,NULL,maribel.william@aol.com,"65 Magnolia Ave. ",Torrance,CA,90505
450,Ellsworth,Michael,NULL,ellsworth.michael@yahoo.com,"9982 White St. ",Carmel,NY,10512
552,Lea,Key,NULL,lea.key@yahoo.com,"7 Ocean St. ",Banning,CA,92220
1175,Sindy,Anderson,NULL,sindy.anderson@gmail.com,"543 Halifax Ave. ",Pomona,CA,91768
541,Lanita,Burton,NULL,lanita.burton@msn.com,"8980 Aspen Avenue ",Coachella,CA,92236
696,Norine,Huffman,NULL,norine.huffman@aol.com,"363 Dunbar Drive ",Encino,CA,91316
923,Randee,Pitts,NULL,randee.pitts@msn.com,"7371B Essex Street ","Canyon Country",CA,91387
1250,Neoma,Daugherty,NULL,neoma.daugherty@gmail.com,"80 Spring Street ","Mount Vernon",NY,10550
1035,Tangela,Hurley,NULL,tangela.hurley@msn.com,"49 North Cross St. ",Campbell,CA,95008
1149,Drucilla,Gilliam,NULL,drucilla.gilliam@hotmail.com,"8257 E. Westminster Ave. ","Santa Clara",CA,95050
636,Ashton,Lott,NULL,ashton.lott@hotmail.com,"609 Windfall Lane ","Floral Park",NY,11001
657,Sam,Lester,NULL,sam.lester@gmail.com,"563 South Beacon Lane ",Baldwin,NY,11510
1280,Jackeline,Colon,NULL,jackeline.colon@msn.com,"9916 Cedarwood Drive ","Wappingers Falls",NY,12590
57,Pamala,Henry,NULL,pamala.henry@aol.com,"197 Bridgeton Ave. ",Bronx,NY,10451
252,Eleni,Gordon,NULL,eleni.gordon@hotmail.com,"583 W. San Carlos Street ","Richmond Hill",NY,11418
437,Laureen,Barry,NULL,laureen.barry@yahoo.com,"909 Ridge St. ","Orchard Park",NY,14127
1348,Yvone,Guerrero,NULL,yvone.guerrero@aol.com,"8548 Jackson Ave. ",Merrick,NY,11566
1238,Edgar,Quinn,NULL,edgar.quinn@aol.com,"556 Dogwood Ave. ",Harlingen,TX,78552
1259,Kimbery,Nieves,NULL,kimbery.nieves@msn.com,"768 Roehampton St. ","San Carlos",CA,94070
236,Verona,O'neill,NULL,verona.o'neill@hotmail.com,"8279 W. Sussex St. ",Selden,NY,11784
80,Sarai,Mckee,"(716) 912-8110",sarai.mckee@msn.com,"641 Glenwood Avenue ",Buffalo,NY,14215
813,Neville,Mcclain,NULL,neville.mcclain@yahoo.com,"781 Buttonwood Ave. ","West Hempstead",NY,11552
1321,Shantel,Gregory,NULL,shantel.gregory@yahoo.com,"7722 Second Lane ","West Islip",NY,11795
164,Tomika,Larson,NULL,tomika.larson@yahoo.com,"254 Canal St. ",Woodside,NY,11377
583,Lashandra,Turner,"(562) 327-9469",lashandra.turner@hotmail.com,"11 Marlborough Rd. ","Long Beach",NY,11561
1296,Travis,Whitley,NULL,travis.whitley@aol.com,"60 Euclid Ave. ","Saint Albans",NY,11412
348,Darren,Witt,NULL,darren.witt@aol.com,"916 Hillcrest Ave. ",Coachella,CA,92236
979,Ingeborg,Ellison,NULL,ingeborg.ellison@yahoo.com,"360 Trusel St. ",Ithaca,NY,14850
1095,Corene,Swanson,NULL,corene.swanson@aol.com,"597 Lakeshore Lane ","Rego Park",NY,11374
1434,Elana,Miles,NULL,elana.miles@yahoo.com,"7077 Euclid Ave. ",Liverpool,NY,13090
861,Olympia,Figueroa,NULL,olympia.figueroa@hotmail.com,"587 Surrey St. ","Hopewell Junction",NY,12533
1220,Carissa,Cross,NULL,carissa.cross@yahoo.com,"9335 West Main Dr. ","Huntington Station",NY,11746
746,Eldridge,Greer,NULL,eldridge.greer@aol.com,"131 E. Madison St. ","Central Islip",NY,11722
1234,Joshua,Berg,NULL,joshua.berg@hotmail.com,"16 East St. ",Ossining,NY,10562
1012,Josephine,Dale,NULL,josephine.dale@aol.com,"8214 West Drive ",Baldwinsville,NY,13027
608,Taisha,Vang,NULL,taisha.vang@yahoo.com,"660 East Foster Lane ",Shirley,NY,11967
872,Silas,Tate,"(361) 219-2149",silas.tate@yahoo.com,"9754 53rd Court ","Corpus Christi",TX,78418
1047,Jamaal,Baker,NULL,jamaal.baker@hotmail.com,"186 Big Rock Cove Ave. ",Elmhurst,NY,11373
767,Twana,Arnold,"(657) 988-1904",twana.arnold@msn.com,"47 North Fairground Lane ",Anaheim,CA,92806
965,Margit,Osborn,NULL,margit.osborn@yahoo.com,"909 Gulf Drive ",Plainview,NY,11803
535,Inge,Olsen,"(562) 719-5041",inge.olsen@msn.com,"295 Iroquois Rd. ","Long Beach",NY,11561
1173,Chanel,May,NULL,chanel.may@msn.com,"806 Saxton Court ","Garden City",NY,11530
1241,Nathaniel,Davidson,NULL,nathaniel.davidson@hotmail.com,"7476 Henry Smith Street ",Rome,NY,13440
1305,Dalia,Carson,"(507) 186-2004",dalia.carson@aol.com,"7175 Galvin St. ",Rochester,NY,14606
504,Tiana,Henderson,NULL,tiana.henderson@aol.com,"62 Orange St. ","Franklin Square",NY,11010
563,Rodney,Odom,NULL,rodney.odom@yahoo.com,"7782 North Deerfield Lane ","Richmond Hill",NY,11418
151,Joesph,Delacruz,NULL,joesph.delacruz@aol.com,"184 Cypress Street ",Atwater,CA,95301
277,Mark,Garrett,NULL,mark.garrett@msn.com,"285 Rosewood Dr. ",Monroe,NY,10950
208,Denis,Logan,NULL,denis.logan@msn.com,"121 Rockcrest Street ",Ridgecrest,CA,93555
1075,Dann,Huff,NULL,dann.huff@gmail.com,"475 S. Rockville St. ","Huntington Station",NY,11746
1185,Corine,Stuart,NULL,corine.stuart@msn.com,"5 Penn Street ","Clifton Park",NY,12065
996,Serafina,Clemons,NULL,serafina.clemons@gmail.com,"851 Brown Ave. ",Shirley,NY,11967
1253,Susannah,Fields,NULL,susannah.fields@hotmail.com,"17 Railroad Street ","Far Rockaway",NY,11691
526,Lazaro,Moran,NULL,lazaro.moran@gmail.com,"83 E. Buttonwood Street ","Sugar Land",TX,77478
381,Kristen,Alvarez,NULL,kristen.alvarez@aol.com,"9778 North River St. ",Bronx,NY,10451
1413,Ophelia,Decker,NULL,ophelia.decker@yahoo.com,"69 Rockwell Court ","New Windsor",NY,12553
50,Cleotilde,Booth,NULL,cleotilde.booth@gmail.com,"17 Corona St. ","Sugar Land",TX,77478
797,Cathey,Lamb,NULL,cathey.lamb@msn.com,"9621 Ryan Drive ",Bayside,NY,11361
1386,Cesar,Wilkins,"(619) 685-5786",cesar.wilkins@hotmail.com,"7 Inverness St. ","San Diego",CA,92111
612,Gabriel,Wagner,NULL,gabriel.wagner@msn.com,"7921 Manhattan Ave. ","Ballston Spa",NY,12020
264,Mariela,Huffman,NULL,mariela.huffman@gmail.com,"531 Fieldstone Road ","Garden City",NY,11530
587,Euna,Lopez,NULL,euna.lopez@gmail.com,"7979 South Mountainview Ave. ",Carmel,NY,10512
9,Genoveva,Baldwin,NULL,genoveva.baldwin@msn.com,"8550 Spruce Drive ","Port Washington",NY,11050
385,Rochelle,Ward,NULL,rochelle.ward@yahoo.com,"7855 La Sierra Street ",Glendora,CA,91740
1182,Trinidad,Chapman,NULL,trinidad.chapman@aol.com,"7371 Glen Eagles Street ",Ronkonkoma,NY,11779
